"","chr","coord","pwm","shape","score"
"1","chr10",128335784,16.7071208953857,1.4196058511734,17.7500078057955
"2","chr10",78028280,17.1149196624756,0.935366868972778,16.9160437248662
"5","chr10",78018896,16.2524433135986,0.432285815477371,13.7561877341156
"8","chr10",88376946,16.5965633392334,2.97451782226562,19.84113947283
"11","chr10",12006063,14.7042140960693,1.11597716808319,15.0308213331094
"20","chr10",20915698,16.0413150787354,1.61539745330811,17.4687647829887
"23","chr10",61199696,13.5861301422119,0.969683945178986,13.4944998120752
"25","chr10",122105593,11.3763980865479,2.51825928688049,14.1253532269513
"27","chr10",96214043,14.889386177063,2.68323040008545,17.8272077009282
"29","chr10",69452347,14.3499584197998,2.12152862548828,16.5886574159223
"35","chr10",119646641,16.3131694793701,1.50388181209564,17.5277094728638
"36","chr10",85968208,14.2879095077515,2.11962580680847,16.5239376989674
"66","chr10",100742251,16.3169651031494,1.08310949802399,16.5545932969847
"68","chr10",77082709,14.7406206130981,1.84181702136993,16.5584961386666
"69","chr10",26711265,14.922119140625,1.17465949058533,15.4012632860542
"71","chr10",43212060,14.8373117446899,1.15101563930511,15.2559339348746
"72","chr10",80566494,13.4545869827271,2.92393851280212,16.6481156738075
"73","chr10",12662232,15.3258199691772,0.84655100107193,14.8299882904857
"76","chr10",75586395,14.9163627624512,2.0534725189209,17.0580157252326
"78","chr10",121701509,13.7984647750854,0.946002542972565,13.6332418836506
"79","chr10",17733238,17.7145309448242,1.28491687774658,18.4607095842042
"80","chr10",77729431,14.9410810470581,0.782109439373016,14.2095865222747
"83","chr10",18055438,16.7785873413086,0.535590887069702,14.9201365792475
"85","chr10",45051297,15.9003782272339,2.66650390625,18.8195873272754
"87","chr10",75605354,14.0412292480469,1.41968429088593,15.0842806164684
"88","chr10",93425874,14.4186573028564,1.81117713451385,16.1866010331353
"93","chr10",7883705,14.1527299880981,1.37236034870148,15.0948725734883
"94","chr10",126169956,15.2200222015381,3.23510646820068,18.714560409221
"95","chr10",80611262,15.2055444717407,1.2367262840271,15.8379445744651
